,foodsize,sumincome,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  ,max_boro,max_building,max_camis,max_cuisine_description
11204,128,895050600.0,4115354.0,0.0,1.589,0.0,40.618779,-73.984826,MANHATTAN,717,41617898,Chicken
10311,1,,121555.0,0.0,0.047,0.0,40.605231,-74.179534,BROOKLYN,47,50009089,Chinese
10456,91,2596738680.0,2635672.0,0.0,1.018,0.0,40.829886,-73.908121,QUEENS,2914,50038896,Bangladeshi
10466,96,4742095620.0,5212056.0,5147.0,2.012,0.002,40.890964,-73.846239,BRONX,1054,41701184,Pizza
11373,227,875901000.0,3942311.0,0.0,1.522,0.0,40.738843,-73.878539,BRONX,1894,41346473,Italian
11427,20,52769280.0,4094886.0,0.0,1.581,0.0,40.730918,-73.745621,MANHATTAN,353,50051844,Hawaiian
10451,161,489378240.0,2665304.0,9963.0,1.029,0.004,40.820454,-73.925066,BROOKLYN,216,50017736,Chinese
10010,260,1096727040.0,988468.0,0.0,0.382,0.0,40.739104,-73.982455,QUEENS,6144,41596350,Japanese
11234,153,3346632000.0,19191723.0,2139260.0,7.41,0.826,40.606436,-73.909725,MANHATTAN,462,41385888,American
11040,19,175883400.0,12396509.0,73573.0,4.786,0.028,40.745347,-73.680292,MANHATTAN,173,41597788,Thai
11219,114,3291840.0,3838517.0,0.0,1.482,0.0,40.632667,-73.996669,BROOKLYN,44,50048523,American
10011,481,882343800.0,1713461.0,0.0,0.662,0.0,40.742042,-74.000622,BROOKLYN,3018,50014372,Chinese
10152,1,,12423.0,0.0,0.005,0.0,40.758404,-73.972031,QUEENS,13932,50054391,Indian
10453,99,5961919380.0,2372518.0,6524.0,0.916,0.003,40.85282,-73.91231,BROOKLYN,822,50063138,Chicken
10474,36,836209620.0,3961350.0,0.0,1.529,0.0,40.810618,-73.884474,MANHATTAN,132,40388828,Barbecue
11385,279,390362040.0,9362464.0,82983.0,3.615,0.032,40.700647,-73.889423,BROOKLYN,156,41071232,American
11368,308,1477474080.0,6810487.0,99467.0,2.63,0.038,40.749737,-73.853045,MANHATTAN,42,40882849,American
11101,274,57769740.0,6743196.0,236159.0,2.604,0.091,40.74756,-73.938942,MANHATTAN,110,41483297,Vietnamese/Cambodian/Malaysia
10002,487,1520248920.0,2275984.0,0.0,0.879,0.0,40.715777,-73.986207,MANHATTAN,10,41503714,Korean
11415,35,4053708180.0,1466888.0,0.0,0.566,0.0,40.7079,-73.828291,QUEENS,13617,50063311,Other
10010,260,1096727040.0,988468.0,0.0,0.382,0.0,40.739104,-73.982455,QUEENS,6144,41596350,Japanese
10023,201,1884161520.0,1268944.0,0.0,0.49,0.0,40.775916,-73.982602,MANHATTAN,29,50054340,Tex-Mex
11216,174,1027641180.0,2421197.0,0.0,0.935,0.0,40.680769,-73.949313,QUEENS,14909,41551889,Korean
11697,5,564021120.0,6722312.0,16405.0,2.595,0.006,40.552684,-73.924526,MANHATTAN,8789,41098607,American
10020,48,,71560.0,0.0,0.028,0.0,40.758236,-73.978833,MANHATTAN,32,40931929,Steak
11435,112,47360640.0,3959892.0,0.0,1.529,0.0,40.701229,-73.80964,MANHATTAN,1228,40901832,Bagels/Pretzels
11415,35,4053708180.0,1466888.0,0.0,0.566,0.0,40.7079,-73.828291,QUEENS,13617,50063311,Other
11223,184,535799880.0,5370772.0,0.0,2.074,0.0,40.597143,-73.973426,QUEENS,19012,50059930,Chinese
11694,41,730288980.0,3460878.0,1189.0,1.336,0.0,40.57827,-73.844762,BROOKLYN,652,40577204,American
10173,1,,12297.0,0.0,0.005,0.0,40.754131,-73.979364,MANHATTAN,550,41475820,Caf̩/Coffee/Tea
11421,80,4957392060.0,3340825.0,0.0,1.29,0.0,40.69406,-73.858626,QUEENS,550,50047854,Japanese
11208,113,7293627660.0,9265590.0,0.0,3.577,0.0,40.668564,-73.87099,BROOKLYN,9529,50040711,Caribbean
10025,230,12577440.0,1946729.0,0.0,0.752,0.0,40.798601,-73.966622,QUEENS,21200,41595076,American
10307,31,1522080.0,5085103.0,17221.0,1.963,0.007,40.509183,-74.237785,BROOKLYN,984,50057288,Caf̩/Coffee/Tea
10451,161,489378240.0,2665304.0,9963.0,1.029,0.004,40.820454,-73.925066,BROOKLYN,216,50017736,Chinese
10472,108,1775646600.0,2729341.0,0.0,1.054,0.0,40.829556,-73.86931,QUEENS,9705,41676423,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
10039,32,5652039060.0,1132695.0,0.0,0.437,0.0,40.830869,-73.936216,QUEENS,16602,50058621,American
11357,71,0.0,7279770.0,2281.0,2.811,0.001,40.785129,-73.810037,MANHATTAN,33,50000045,Hamburgers
10312,80,366720.0,19894902.0,367520.0,7.681,0.142,40.545237,-74.180443,BROOKLYN,4418,50058038,Chinese
10034,109,972337380.0,2823928.0,11193.0,1.09,0.004,40.867076,-73.924312,STATEN ISLAND,65,50044263,Other
10470,44,3764297760.0,3703474.0,3918.0,1.43,0.002,40.889526,-73.872586,QUEENS,3202,50006436,American
10465,81,9235431240.0,8780431.0,2711.0,3.39,0.001,40.823277,-73.825602,MANHATTAN,119,40563475,Middle Eastern
10174,3,,13224.0,0.0,0.005,0.0,40.751441,-73.975003,BRONX,171,41350661,Pizza/Italian
11236,112,9400320000.0,9321435.0,89767.0,3.599,0.035,40.639413,-73.900664,MANHATTAN,48,50009888,Indian
11416,40,18810667080.0,1713824.0,0.0,0.662,0.0,40.684625,-73.849582,BROOKLYN,1501,50046131,Pizza
10153,1,,12281.0,0.0,0.005,0.0,40.763622,-73.972439,MANHATTAN,2492,50010819,Soul Food
11212,114,2138448360.0,3985437.0,0.0,1.539,0.0,40.662932,-73.913019,MANHATTAN,269,50046406,American
10302,66,4125600.0,3079121.0,0.0,1.189,0.0,40.630716,-74.137729,BROOKLYN,554,50053554,Sandwiches
11217,273,354884760.0,1943236.0,8495.0,0.75,0.003,40.682306,-73.978099,QUEENS,4537,41537124,Korean
11421,80,4957392060.0,3340825.0,0.0,1.29,0.0,40.69406,-73.858626,QUEENS,550,50047854,Japanese
11238,248,14976900.0,2865978.0,0.0,1.107,0.0,40.679169,-73.9638,MANHATTAN,11,41586283,Tex-Mex
10020,48,,71560.0,0.0,0.028,0.0,40.758236,-73.978833,MANHATTAN,32,40931929,Steak
11203,136,1181292960.0,5555602.0,0.0,2.145,0.0,40.64959,-73.934374,MANHATTAN,409,40605511,Pizza
10010,260,1096727040.0,988468.0,0.0,0.382,0.0,40.739104,-73.982455,QUEENS,6144,41596350,Japanese
10111,5,,9576.0,0.0,0.004,0.0,40.759114,-73.977596,QUEENS,5514,41712236,Caf̩/Coffee/Tea
11226,196,35925120.0,3339495.0,0.0,1.289,0.0,40.646448,-73.956649,MANHATTAN,882,50011464,Donuts
11233,84,4623058440.0,3493430.0,0.0,1.349,0.0,40.678302,-73.919936,BRONX,948-950,50057334,American
11421,80,4957392060.0,3340825.0,0.0,1.29,0.0,40.69406,-73.858626,QUEENS,550,50047854,Japanese
11364,54,4509397200.0,6391237.0,0.0,2.468,0.0,40.745294,-73.760583,MANHATTAN,55,41548334,American
11417,69,3906242040.0,2898426.0,0.0,1.119,0.0,40.676434,-73.844467,BROOKLYN,1467,50007421,American
10075,95,10905862620.0,477128.0,0.0,0.184,0.0,40.773363,-73.956222,MANHATTAN,57,41457400,American
10111,5,,9576.0,0.0,0.004,0.0,40.759114,-73.977596,QUEENS,5514,41712236,Caf̩/Coffee/Tea
11005,2,2414359080.0,474842.0,0.0,0.183,0.0,40.756638,-73.714222,BRONX,733,50058952,American
11102,89,75532500.0,2042468.0,2387.0,0.789,0.001,40.772884,-73.926295,MANHATTAN,170,50058240,Bakery
11413,45,5631209520.0,8039774.0,61151.0,3.104,0.024,40.671529,-73.752479,MANHATTAN,810,41634968,American
11212,114,2138448360.0,3985437.0,0.0,1.539,0.0,40.662932,-73.913019,MANHATTAN,269,50046406,American
11370,27,3552940440.0,3859880.0,0.0,1.49,0.0,40.765393,-73.893191,MANHATTAN,127,40374834,Italian
11217,273,354884760.0,1943236.0,8495.0,0.75,0.003,40.682306,-73.978099,QUEENS,4537,41537124,Korean
11233,84,4623058440.0,3493430.0,0.0,1.349,0.0,40.678302,-73.919936,BRONX,948-950,50057334,American
10463,127,987247320.0,3755201.0,346374.0,1.45,0.134,40.880678,-73.90654,BRONX,1793,50033068,American
11357,71,0.0,7279770.0,2281.0,2.811,0.001,40.785129,-73.810037,MANHATTAN,33,50000045,Hamburgers
10173,1,,12297.0,0.0,0.005,0.0,40.754131,-73.979364,MANHATTAN,550,41475820,Caf̩/Coffee/Tea
11433,29,527947200.0,4019207.0,0.0,1.552,0.0,40.698165,-73.786892,MANHATTAN,235,50058287,Japanese
10309,83,5409600.0,17394774.0,107608.0,6.716,0.042,40.531346,-74.219857,QUEENS,690,50009324,Bakery
11451,1,,90862.0,0.0,0.035,0.0,40.70119,-73.795943,BROOKLYN,196,50060430,Other
10456,91,2596738680.0,2635672.0,0.0,1.018,0.0,40.829886,-73.908121,QUEENS,2914,50038896,Bangladeshi
11362,54,95379900.0,6554203.0,39269.0,2.531,0.015,40.756632,-73.735333,BRONX,445,50001890,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
10471,52,7814527560.0,6656340.0,28258.0,2.57,0.011,40.898788,-73.90313,QUEENS,16220A,50059083,Korean
10453,99,5961919380.0,2372518.0,6524.0,0.916,0.003,40.85282,-73.91231,BROOKLYN,822,50063138,Chicken
11364,54,4509397200.0,6391237.0,0.0,2.468,0.0,40.745294,-73.760583,MANHATTAN,55,41548334,American
10103,2,,24776.0,0.0,0.01,0.0,40.76078,-73.97767,BROOKLYN,246,41020593,French
11212,114,2138448360.0,3985437.0,0.0,1.539,0.0,40.662932,-73.913019,MANHATTAN,269,50046406,American
10022,467,7196476320.0,1107169.0,0.0,0.427,0.0,40.75863,-73.967949,QUEENS,8802,40391350,Pizza/Italian
10029,213,2411868960.0,2102362.0,0.0,0.812,0.0,40.791763,-73.94397,BROOKLYN,209,50040360,Chinese
11003,1,178967700.0,10755318.0,113541.0,4.153,0.044,40.699176,-73.706166,QUEENS,8003,41268295,American
11234,153,3346632000.0,19191723.0,2139260.0,7.41,0.826,40.606436,-73.909725,MANHATTAN,462,41385888,American
11001,2,1153689120.0,5774539.0,34951.0,2.23,0.013,40.723317,-73.704949,BROOKLYN,76,41337181,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
10467,158,2966042580.0,6052829.0,0.0,2.337,0.0,40.869953,-73.865765,STATEN ISLAND,39,41334764,American
11412,47,5680199160.0,4265242.0,0.0,1.647,0.0,40.698095,-73.758987,QUEENS,13742,50044142,Chinese
11238,248,14976900.0,2865978.0,0.0,1.107,0.0,40.679169,-73.9638,MANHATTAN,11,41586283,Tex-Mex
10169,23,,9924.0,0.0,0.004,0.0,40.754391,-73.976098,MANHATTAN,7,50014840,Chinese
11362,54,95379900.0,6554203.0,39269.0,2.531,0.015,40.756632,-73.735333,BRONX,445,50001890,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
10169,23,,9924.0,0.0,0.004,0.0,40.754391,-73.976098,MANHATTAN,7,50014840,Chinese
10018,358,5577598800.0,836252.0,0.0,0.323,0.0,40.755332,-73.993139,MANHATTAN,246,41561490,American
11451,1,,90862.0,0.0,0.035,0.0,40.70119,-73.795943,BROOKLYN,196,50060430,Other
10028,212,4386474900.0,811363.0,0.0,0.313,0.0,40.776442,-73.953513,MANHATTAN,88,40624607,Italian
11692,12,6835823280.0,2595951.0,226794.0,1.002,0.088,40.594154,-73.791986,QUEENS,8345,41421764,American
11693,36,7288214520.0,2554582.0,0.0,0.986,0.0,40.590916,-73.809715,MANHATTAN,45,41149575,French
11371,33,,2837110.0,0.0,1.095,0.0,40.774411,-73.873272,BROOKLYN,752,41188631,Chinese
11106,168,670321200.0,2214073.0,14591.0,0.855,0.006,40.762211,-73.931528,STATEN ISLAND,1012,41466245,Mexican
